player_id,player_name,week,clay_points,grass_points,hard_points,carpet_points
105173,Adrian Mannarino,1,0,0,20,0
105173,Adrian Mannarino,2,0,0,20,0
105173,Adrian Mannarino,3,0,0,180,0
105173,Adrian Mannarino,4,0,0,0,0
105173,Adrian Mannarino,5,0,0,90,0
105173,Adrian Mannarino,6,0,0,90,0
105173,Adrian Mannarino,7,0,0,90,0
105173,Adrian Mannarino,8,0,0,20,0
105173,Adrian Mannarino,9,0,0,0,0
105173,Adrian Mannarino,10,0,0,10,0
105173,Adrian Mannarino,11,0,0,0,0
105173,Adrian Mannarino,12,0,0,10,0
105173,Adrian Mannarino,13,0,0,0,0
105173,Adrian Mannarino,14,0,0,0,0
105173,Adrian Mannarino,15,0,0,0,0
105173,Adrian Mannarino,16,0,0,0,0
105173,Adrian Mannarino,17,0,0,0,0
105173,Adrian Mannarino,18,0,0,0,0
105173,Adrian Mannarino,19,0,0,0,0
105173,Adrian Mannarino,20,45,0,0,0
105173,Adrian Mannarino,21,10,0,0,0
105173,Adrian Mannarino,22,0,0,0,0
105173,Adrian Mannarino,23,0,180,0,0
105173,Adrian Mannarino,24,0,0,0,0
105173,Adrian Mannarino,25,0,20,0,0
105173,Adrian Mannarino,26,0,45,0,0
105173,Adrian Mannarino,27,0,0,0,0
105173,Adrian Mannarino,28,0,20,0,0
105173,Adrian Mannarino,29,0,0,0,0
105173,Adrian Mannarino,30,0,0,90,0
105173,Adrian Mannarino,31,0,0,20,0
105173,Adrian Mannarino,32,0,0,45,0
105173,Adrian Mannarino,33,0,0,0,0
105173,Adrian Mannarino,34,0,0,500,0
105173,Adrian Mannarino,35,0,0,10,0
105173,Adrian Mannarino,36,0,0,0,0
105173,Adrian Mannarino,37,0,0,0,0
105173,Adrian Mannarino,38,0,0,20,0
105173,Adrian Mannarino,39,0,0,20,0
105173,Adrian Mannarino,40,0,0,90,0
105173,Adrian Mannarino,41,0,0,0,0
105173,Adrian Mannarino,42,0,0,20,0
105173,Adrian Mannarino,43,0,0,20,0
105173,Adrian Mannarino,44,0,0,25,0
105173,Adrian Mannarino,45,0,0,0,0
105173,Adrian Mannarino,46,0,0,0,0
105173,Adrian Mannarino,47,0,0,0,0
105173,Adrian Mannarino,48,0,0,0,0
105173,Adrian Mannarino,49,0,0,0,0
105173,Adrian Mannarino,50,0,0,0,0
105173,Adrian Mannarino,51,0,0,0,0
105173,Adrian Mannarino,52,0,0,0,0
202400,Alastair Gray,1,0,0,0,0
202400,Alastair Gray,2,0,0,0,0
202400,Alastair Gray,3,0,0,0,0
202400,Alastair Gray,4,0,0,0,0
